SOLICITUDORIGINAL;N_ORDEN_DISTRIBU;FECHA_CREACION_ORDEN;PONUMB;EX14ERROR;DESPA;TIPO_ESTADO;TIPO_RELACION;RELNUM;INUMBR;RELBL5; 
114483488;121144453;2017-10-11 12:00:18.000000;596871;[11-10-2017 12:40] La OC se cargo correctamente                                                     ;PD ;0;2;;;;
114473820;121144463;2017-10-11 12:00:18.000000;596881;[11-10-2017 12:41] La OC se cargo correctamente                                                     ;PD ;0;2;;;;
114486697;121144440;2017-10-11 12:00:18.000000;596858;[11-10-2017 12:40] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114473864;121144460;2017-10-11 12:00:18.000000;596878;[11-10-2017 12:41] La OC se cargo correctamente                                                     ;PD ;0;2;;;;
114486842;121144452;2017-10-11 12:00:18.000000;596870;[11-10-2017 12:41] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114484198;121144470;2017-10-11 12:00:19.000000;596888;[11-10-2017 12:41] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114487098;121144447;2017-10-11 12:00:18.000000;596865;[11-10-2017 12:40] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114486852;121144421;2017-10-11 12:00:17.000000;596839;[11-10-2017 12:40] La OC se cargo correctamente                                                     ;PD ;0;2;;;;
114484181;121144423;2017-10-11 12:00:17.000000;596841;[11-10-2017 12:40] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114473677;121144437;2017-10-11 12:00:18.000000;596855;[11-10-2017 12:40] La OC se cargo correctamente                                                     ;PD ;0;2;;;;
114484198;121144467;2017-10-11 12:00:18.000000;596885;[11-10-2017 12:41] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114475815;121144465;2017-10-11 12:00:18.000000;596883;[11-10-2017 12:41] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114475815;121144466;2017-10-11 12:00:18.000000;596884;[11-10-2017 12:41] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114474670;121144464;2017-10-11 12:00:18.000000;596882;[11-10-2017 12:41] La OC se cargo correctamente                                                     ;PD ;0;2;;;;
114475240;121135450;2017-10-11 11:00:11.000000;596744;[11-10-2017 11:41] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
